sentenceId,sentence,sentence_time
1,do cái áo . mặc giống nhau làm đíuu gì,2024-03-25 01:13:31
2,khi nào nha anh sẽ lắp hả per,2024-06-10 17:19:22
3,chung quy là hình thức quảng cáo !!!,2021-07-18 00:27:16
4,đồ khùng cơm đâu có mắc đâu mà phải làm vậy .,2024-10-25 01:13:22
5,trò này cũng nguy hiểm chết người đừng đùa theo mà mang họa,2024-07-21 09:17:29
6,đã biết là thế nhưng không còn cách nào khác :(,2024-11-16 09:54:54
7,thấy cưng gì đâu,2021-12-29 10:50:11
8,con này chăm sóc n là n bao đẹp ><,2021-09-26 09:44:10
9,per mẹ copy đây làm bố tưởng nay mày hiểu đời văn chương hơn,2024-02-19 08:25:43
10,tao cute mà các mày,2022-12-20 01:23:25
11,lỗi tại thằng quay phim . cắt không đúng lúc,2022-11-01 10:07:37
12,đau lòng lắm khi tối nay chồng tương lai của tao lại cống hiến sức lực để chăm sóc vợ thằng khác ..,2022-10-20 11:07:19
13,mấy góc cầu bị bể là thành quả của mấy đứa mập chân ngắn để lại à ....,2022-01-04 04:15:05
14,tao đã đóng dấu cấm đứa nào rớ vào =)))),2022-02-08 11:32:09
15,per bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha,2023-01-28 15:04:16
16,đáng yêu vậy =))),2023-12-06 22:34:15
17,lâu rất lâu mới gặp được lần rồi liết mắt nhìn cái :)))) chưa thấy nó cười,2021-12-28 01:06:22
18,nguyên nhân là gì vậy ??,2024-09-21 08:00:08
19,cả một bầu trời đáng yêu :))))),2023-10-27 19:47:40
20,có thể cấp phép những phim bạo lực . kinh dị nước ngoài . nhưng động phim nhà có chút bạo lực và máu me là cấm vì không đúng thuần phong mỹ tục,2023-01-20 21:37:10
21,dell hiểu phí cái con cặc gì =))) cái tỷ lệ mặt này .,2021-09-22 17:55:36
22,dume mất dạy,2022-10-12 14:52:40
23,còn các bạn đặt bánh của mình toàn gửi cho người yêu . chắc câu chuyện này còn buồn hơn :((,2022-04-05 02:13:40
24,sợ thế,2024-07-09 03:16:10
25,thế này mà mày vẫn còn buồn thì ...,2025-02-07 13:34:27
26,"đéo kiếm ra tiền , nấu có 3 bữa cơm với đưa đón con đi học mà còn không xong , chắc để mẹ già làm hộ hay để chồng nó đi kiếm tiền về rồi nó hầu cho",2022-02-07 12:34:28
27,hãy dùng một đời để minh chứng nhé !💕😍,2022-05-30 22:49:34
28,em không muốn chúng ta già đi chút nào . điều đó đồng nghĩa với việc cta sắp xa nhau 😔# n,2023-03-04 12:50:44
29,bà ngoại của em đáng yêu hơn thế này nhiều,2023-06-14 19:52:33
30,per năm sau nhớ lấy gối ra quỳ luôn ha 🤣🤣🤣,2021-08-11 09:37:29
31,per đừng ảo tưởng nhé,2022-10-23 23:53:17
32,haha con mấy cái video toàn đóng vào mỏ nhau không . cười tụt quần 🤣,2022-08-01 00:19:02
33,nên cho người xử sai ngồi tù như người ta xem sao ....,2025-01-16 03:40:11
34,per con người dù có bị trừ hết điểm cũng chạ thèm quan tâm ạ 🙂,2021-09-17 03:46:38
35,chuẩn bị kiểm tra hình huhu :((,2021-07-02 11:59:59
36,mỉa mai cực mạnh =)),2021-12-04 16:51:52
37,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),2022-03-15 13:47:58
38,nản kèo vãi,2025-03-27 20:33:58
39,chuyển từ thất tình sang muốn chết vì quá chán :((,2022-03-04 10:58:55
40,per lại nhặng lên à . cảm thấy trong sạch thì cần gì nhặng lên thế,2023-04-25 19:40:28
